country,Tree_Cover_Loss_ha
Aruba,2.5554059394959854
Afghanistan,1887.1295535102379
Angola,3678975.375487187
Anguilla,48.36910888769857
Åland Islands,15611.342443079706
Albania,43944.42983481202
Andorra,133.65054057120224
United Arab Emirates,0.0
Argentina,6549749.98975127
Armenia,2113.638698015465
French Southern Territories,6.334069089070102
Antigua and Barbuda,848.6827051911977
Australia,8846937.598857436
Austria,385032.1403437962
Azerbaijan,7700.766728089242
Burundi,33414.82247860379
Belgium,109099.52502266591
Benin,44004.04438175568
"Bonaire, Sint Eustatius and Saba",64.23214452841526
Burkina Faso,131.12572634308972
Bangladesh,228030.3475990397
Bulgaria,139139.76034454713
Bahamas,26949.883576136297
Bosnia and Herzegovina,34984.554425916205
Saint Barthélemy,1.5393544465874562
Belarus,1042493.4393309007
Belize,279134.0282777167
Bermuda,6.659348045401476
"Bolivia, Plurinational State of",7268729.095086552
Brazil,66126530.969736814
Barbados,419.93668482600435
Brunei Darussalam,30485.85227262868
Bhutan,24411.50012612807
Botswana,510.42366857050564
Central African Republic,961343.7836682695
Canada,48911421.78272706
Switzerland,45724.30537485113
Chile,2239300.8476677784
China,11487132.21174163
Côte d'Ivoire,3629776.662643037
Cameroon,1842856.2240815372
"Congo, The Democratic Republic of the",18365345.335181005
Congo,968237.785153707
Colombia,5194180.196975108
Comoros,5970.465729174623
Cabo Verde,114.03658128372123
Costa Rica,269598.8154826941
Cuba,383303.87657088967
Curaçao,59.2923094610932
Cayman Islands,543.3611288936914
Cyprus,3380.828360176337
Czechia,547560.1017686047
Germany,1229620.5798144268
Dominica,25007.14570359293
Denmark,95522.51400707102
Dominican Republic,358001.78673520614
Algeria,205262.89439186605
Ecuador,954209.3200752985
Egypt,1779.121494637612
Eritrea,2.5295243326025387
Spain,1556667.1491187601
Estonia,556024.7831216697
Ethiopia,467461.42342595523
Finland,4379133.719830276
Fiji,52207.767369263456
France,1392118.1227194797
"Micronesia, Federated States of",76.66233752435868
Gabon,505805.40668098076
United Kingdom,540905.8216646347
Georgia,11099.632353004168
Guernsey,5.038305335913629
Ghana,1531521.5427938655
Gibraltar,0.4993850541297741
Guinea,1991544.568672775
Guadeloupe,2734.164905494676
Gambia,704.9299188382574
Guinea-Bissau,198266.11845148655
Equatorial Guinea,139057.1942558523
Greece,247171.88805853078
Grenada,1734.8033665113126
Guatemala,1677358.5051792732
French Guiana,82373.9508190588
Guyana,240922.16674822784
Hong Kong,785.9239950645714
Honduras,1315710.8107925826
Croatia,95440.24271267548
Haiti,76373.82380184531
Hungary,242820.51287569245
Indonesia,29447625.234249137
Isle of Man,424.081491758214
India,2188644.0583835924
Ireland,146942.4388652823
"Iran, Islamic Republic of",3955.7103283166757
Iraq,136.81054409609268
Israel,2667.667171737219
Italy,443759.41486795543
Jamaica,52982.35932998412
Jersey,30.62903149363498
Jordan,7.508401794404296
Japan,864596.9251859579
Kazakhstan,64475.6117123791
Kenya,375027.5005563798
Kyrgyzstan,2465.1094760170618
Cambodia,2705838.055833374
Saint Kitts and Nevis,332.29095992487197
"Korea, Republic of",314148.6147538659
Lao People's Democratic Republic,4367306.063655056
Lebanon,5878.17910007006
Liberia,2200293.4638105873
Libya,273.6725035687034
Saint Lucia,1082.2514236443435
Liechtenstein,99.85916257753905
Sri Lanka,210114.62459106577
Lesotho,137.55105594229602
Lithuania,395493.16368879844
Luxembourg,9517.927913014219
Latvia,856716.5503653034
Macao,30.273311541662327
Saint Martin (French part),51.700958926232644
Morocco,54595.02565618216
"Moldova, Republic of",12024.443062811857
Madagascar,4618727.139381822
Maldives,62.57976322540398
Mexico,4660371.664291386
North Macedonia,45168.33093906292
Mali,3953.662040622336
Malta,12.581088293268229
Myanmar,4563139.921356616
Montenegro,18882.092349297207
Mongolia,435540.1758485743
Mozambique,4033764.1524584396
Mauritania,33.24230997744356
Montserrat,222.51862433883153
Martinique,2892.742482346485
Mauritius,3052.4509530507644
Malawi,223994.92576567963
Malaysia,8917579.932348363
Mayotte,2432.9242865510855
Namibia,1225.967938547207
New Caledonia,28175.1023897016
Niger,1.2763199831391057
Nigeria,1247716.5828388834
Nicaragua,1725917.5284660133
Netherlands,30324.65183468368
Norway,905492.4451537863
Nepal,53363.48177685037
New Zealand,1415155.3330532345
Oman,0.0692374569813368
Pakistan,9795.989981366927
Panama,483155.0942252939
Peru,3855380.7043717247
Philippines,1422336.303339369
Palau,686.4472406515125
Papua New Guinea,1789470.5606099353
Poland,1296007.053579232
Puerto Rico,76161.19514137924
"Korea, Democratic People's Republic of",271047.35808673897
Portugal,1173319.2396368498
Paraguay,6770792.739644599
"Palestine, State of",20.8089105026454
Réunion,5712.49385819995
Romania,407283.6414358991
Russian Federation,80296223.05145872
Rwanda,43124.98205812721
Saudi Arabia,0.0
Sudan,1178.6238189414566
Senegal,4931.405918186381
Singapore,2691.5478902700283
Solomon Islands,219156.45528180376
Sierra Leone,1941119.127903176
El Salvador,81966.11911509148
San Marino,4.126240655700954
Somalia,4411.341512347089
Saint Pierre and Miquelon,6.627293495679252
Serbia,66372.7897815029
South Sudan,131340.59596768927
Sao Tome and Principe,77.22190501909938
Suriname,226113.27305315822
Slovakia,234153.8051487878
Slovenia,54038.35014655079
Sweden,5497599.335756534
Eswatini,106440.59599859912
Sint Maarten (Dutch part),32.08061540635308
Seychelles,5.921792239871962
Syrian Arab Republic,27031.646157387677
Turks and Caicos Islands,622.5763099398372
Chad,60463.55926981915
Togo,72331.33858033484
Thailand,2408366.0348068858
Tajikistan,339.3314982144336
Turkmenistan,470.5711524694032
Timor-Leste,31264.242351426805
Trinidad and Tobago,23494.83527450695
Tunisia,33020.561342054796
Turkey,677997.0413262234
"Taiwan, Province of China",42952.22184277668
"Tanzania, United Republic of",3021018.836074703
Uganda,1030934.74067758
Ukraine,1197008.1373099373
United States Minor Outlying Islands,103.86826238174064
Uruguay,406414.8405789622
United States,46484058.50431075
Uzbekistan,1181.3186222389108
Saint Vincent and the Grenadines,473.7605948901058
"Venezuela, Bolivarian Republic of",2345623.87654839
"Virgin Islands, British",305.36735879593874
"Virgin Islands, U.S.",1876.1479175749914
Viet Nam,3423272.310173673
Vanuatu,16450.52932127103
South Africa,1571022.2173359485
Zambia,2250195.546295097
Zimbabwe,232328.721382665
