year,loss_from_fires_ha
2001,2532203.4688128424
2002,4582565.76459362
2003,4506533.035255596
2004,5428640.939105496
2005,3918270.9455091455
2006,4185685.6777598057
2007,4003218.489025688
2008,4265969.280009057
2009,2892759.278155651
2010,3660652.809878034
2011,4234501.967904909
2012,6744086.217520297
2013,7001955.786532359
2014,6433422.573964416
2015,5292559.653140985
2016,9628025.342592167
2017,7942794.357668772
2018,6465899.278339762
2019,7569629.5434465995
2020,8879783.230864003
2021,9335920.178022558
2022,6716747.684185605
