iso,umd_tree_cover_extent_2010__ha,area__ha,percent_tree_cover
GUF,8157813.505993104,8330096.726530746,97.93179807877942
GNQ,2630327.865618238,2695935.338293543,97.5664300347488
LBR,9283496.206019584,9591801.582971107,96.78574067358862
SUR,13997728.080343507,14642556.86529194,95.5962009170891
SLB,2727147.035732675,2853324.005848241,95.57789547009205
DMA,70693.81104877706,75428.07801474727,93.72346864645738
GAB,24699923.142628454,26454969.882697605,93.36590913597294
VUT,1148002.596442117,1231886.1031565,93.19064428931816
PNG,42921261.9880089,46363061.21418273,92.57641938207273
BRN,528769.5582844,577778.7738791773,91.5176503861968
