Year,Commodity driven deforestation,Forestry,Shifting agriculture,Unknown causes,Urbanization,Wildfire,Yearly Total (Mha)
2001,2.691587496334861,5.009330101687984,3.3644351285059413,0.1635692800330558,0.161825041147502,1.9639051519743405,13.354652199683684
2002,3.405408155001274,5.312296117619664,3.621322949041804,0.1383749798527711,0.1676445147985133,3.8076899950327774,16.452736711346805
2003,3.141040695144844,4.876170015517525,2.8403124356513687,0.092312172019585,0.1514641301638436,3.374061559183016,14.475361007680181
2004,4.700815530597509,7.10832815966963,3.3342746799107714,0.1550674869268509,0.1995843899165088,4.410648701163785,19.908718948185054
2005,4.2083110373143775,6.493889407343032,3.870243293673255,0.1290824943391796,0.1834511964495332,3.213314455581296,18.098291884700675
2006,3.9363878399343006,6.55979906937726,3.503781793523652,0.1373220471142177,0.198398399223923,3.31404825520396,17.649737404377312
2007,4.247114138492578,7.06327885651102,3.9381028555463367,0.1381619023114459,0.1953746001986607,2.8059244944953594,18.3879568475554
2008,4.203168235442927,7.047369402089365,3.875587204835079,0.1415571196490055,0.1619725963273981,3.1814935603843977,18.611148118728174
2009,4.651228308190539,5.775440184997406,4.059516286198915,0.1482744359991176,0.1375411059072947,2.2197090302544424,16.991709351547716
2010,4.583958248639229,6.325521631756704,4.543536992860616,0.154535687549666,0.1279103259798295,2.8178978284867164,18.553360715272763
2011,4.425232934880374,6.318206996145526,3.548625919433575,0.1385742984846353,0.1145756089014581,3.03400796368518,17.57922372153075
2012,5.867868701752919,7.849189470063662,4.404263150607842,0.2276464322501451,0.1482257566777503,5.0351268321720495,23.532320343524372
2013,3.664521432188263,5.645632698070841,4.864941377971217,0.149756746859936,0.1161367657534809,6.202273522205225,20.643262543048962
2014,5.275193891206572,6.56204773800125,6.276748272980334,0.1360208315954712,0.1371048836084727,5.345598542050672,23.73271415944277
2015,4.606512108524905,6.024959400228677,4.805783020080717,0.0682454621635441,0.130743205467895,3.9860869148523776,19.622330111318117
2016,7.224818459504847,8.855163732402145,8.673664654717568,0.1154809565916385,0.1981841298802714,4.607482169334984,29.674794102431456
2017,5.9020412164423375,8.975417587138999,8.70825695762383,0.1222101789908123,0.2249937045029837,5.445114616835854,29.378034261534815
2018,4.656296203509428,7.517148249142465,6.6121063084474,0.0946102417603879,0.1927911493529436,5.676881390296128,24.749833542508753
2019,5.0607085234130444,7.512256527957334,6.119667218396962,0.1030105828730721,0.1590696380919931,5.219504449428666,24.17421694016107
2020,4.755158686302941,7.136236135926041,6.792488714110154,0.121854384450383,0.1517067855535315,6.8468970521069,25.80434175844995
2021,4.521544171282441,7.5070827401379665,5.9668628013710725,0.1137355712101116,0.1455499521429955,7.019093333162829,25.273868569307414
2022,4.774582684411281,6.696487940256411,5.866863355085727,0.1207481912465668,0.1361424422698118,5.224176147626445,22.81900076089624
